sep=,
Ext_id: 1506494331,Daterange: 2008-01-01 – 2020-05-28,To: 2020-05-28,From: 2008-01-01
Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Tags,Categories,Notes,Likes,Dislikes,Link,Permalink,AF Link
"2020-05-28 17:32:28","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","Júniorbhz","1","Desrespeito","O app não tem a função “contestar” como vários sites e reportagens dizem a respeito. Se o Auxílio foi negado no segundo pedido, como aconteceu comigo, não existe a mínima possibilidade de contestar ou reclamar a respeito. Estou dentro da regra p/ receber tal auxílio e o meu foi negado. Recebo a msg dizendo que dois membros na família já estão recebendo o auxílio, o que não é verdade! Sinto-me injustiçado e infelizmente não tenho o que fazer. Uma vergonha e total desrespeito com o cidadão. E acredito que não sou o único nessa situação.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6005827402","https://appfollow.io/app/732578/review/219618999","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219618999"
"2020-05-28 15:32:03","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","ateladraopegoueeunao","2","Bolado com vcs","Era pra mim receber minha primeira parcela ontem já recebi de 4 pessoas e o meu não saiu na data que era ontem até agora não recebi",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6005413788","https://appfollow.io/app/732578/review/219618998","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219618998"
"2020-05-28 14:43:44","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","WillBarbosa6","1","FOI CANCELADO APÓS A PRIMEIRA PARCELA","Eu recebi a primeira parcela e agora diz que foi cancelado alguém sabe me dizer o que aconteceu?",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6005229670","https://appfollow.io/app/732578/review/219599071","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219599071"
"2020-05-28 14:41:20","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","SAUL IANCOVICHE","1","A caixa deve tá fazendo uma lavagem de dinheiro.","Não é possível a caixa fazer essa palhaçada com o povo brasileiro estou indignado, não quiseram me pagar dia 28 de abril mesmo eu  que nasci em 1 de março, conversei muito com atendente me pagaram, agora invés de me pagar no outro mês dia 28 de maio, (HOJE) fizeram um calendário dia 2 de junho, e colocaram todos no outro mês invés de pagar o mês de maio, TEMOS QUE LEMBRAR CAIXA QUE O DINHEIRO E NOSSO NÃO DE VOCÊS? 
ESSE DINHEIRO FOI PAGO PELO NOSSO BOLSO, VOCÊS NÃO TÃO FAZENDO FAVOR NENHUM PARA NÓS SE COLOQUEM NO SEU LUGAR.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6005220381","https://appfollow.io/app/732578/review/219599070","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219599070"
"2020-05-28 12:31:47","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","Stehcaruso","1","Não recebe nunca","Mais fácil pegar Corona vírus do que cair o auxílio, 3 meses em análise",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6004704546","https://appfollow.io/app/732578/review/219599069","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219599069"
"2020-05-28 09:55:03","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","usuario 0074","1","Desde o dia 04/05 sem resposta","Sem resposta até hoje pior app que já existiu até hoje estou em análise desde 04/05/2020 vergonha não ter resposta.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6004135217","https://appfollow.io/app/732578/review/219448332","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219448332"
"2020-05-27 15:59:52","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","BruninhoSincero","5","Parabéns","Parabéns app simples, mas que resolve tudo sem sair de casa! Parabéns governo Bolsonaro pelo mandato! 2️⃣2️⃣✅",,,,,,,,,,"1","https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6001147125","https://appfollow.io/app/732578/review/217684628","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=217684628"
"2020-05-27 14:51:31","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","tonholol","1","Desisperada!","Meus filhos estão passando fome,
Estamos vivendo de caridade de familiares e esse auxílio que não sai de análise está tirando meu sono! 
Diz dia 13 de abril e até agora não saiu de análise!!!!!!! Não aguento mais e esperar, e enquanto isso vejo um monte de gente que não precisa receber recebendo e gastando tudo em besteira eu só queria encher meus armários com comida e frutas para os meus filhos!",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6000896442","https://appfollow.io/app/732578/review/219448334","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219448334"
"2020-05-27 14:12:03","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","gomes.carlosjr","1","Informação divergente","Atualizem esse app e comuniquem com quem precisa. Não sabemos o pq a segunda parcela não caiu e o app informa que está aprovado. 111 diz que não atendo mais os requisitos. Bom eim? É sério que terei eu ir em alguma agência? Ah, com certeza. Afinal é a Caixa.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6000744174","https://appfollow.io/app/732578/review/219448333","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219448333"
"2020-05-27 11:41:44","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","Liedf21","1","Em análise , a pessoa morre de fome na pandemia.","Péssimo, sempre está em análise!
Em discordância inclusive com o site da Dataprev, que também é péssimo! Aprovou o benefício do meu pai e de repente, sumiu e agora fica uma mensagem ridícula também. Ou seja, se não morrer do Coronavírus, morre esperando aprovar e efetivamente receber esse auxílio. Lamentável.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=6000156423","https://appfollow.io/app/732578/review/219448331","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219448331"
"2020-05-27 01:34:39","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","kauepedro8945","1","Meu deus","Meu deus estou desde o primeiro dia em análise já fiz de tudo cadastrei umas duas vzs e ainda estou em análise ele falam para atualizar o App mas não tem atualização só Jesus mesmo",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5998425414","https://appfollow.io/app/732578/review/219241507","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219241507"
"2020-05-27 01:17:21","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","Paim41","2","Um Vergonha Esse Aplicativo","Uma Vergonha Esse Aplicativo, Uma Falta de Respeito Com o Povo, Como Assim Não Ter a Placa de Contestação?! Kd Kd",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5998377225","https://appfollow.io/app/732578/review/219241506","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219241506"
"2020-05-26 19:50:07","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","osapelidos","2","Problema","Minha mãe fez o cadastro desde o início do mês de Maio, hoje ja é dia 26 e ainda permanece EM ANÁLISE. Não consegue refazer pelo aplicativo e nem pelo computador, pois aparece cpf ja cadastrado. Como proceder?",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5997510620","https://appfollow.io/app/732578/review/219229313","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219229313"
"2020-05-26 17:15:43","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","ldidhskssk","1","Ruim","Não informa nada mais do que no site",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5997050124","https://appfollow.io/app/732578/review/219200835","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219200835"
"2020-05-26 16:50:59","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","99Almeida","1","Auxilio negado","Fiz meu cadastro e o mesmo foi negado com a informação que um membro da família já recebeu o auxílio, sendo que apenas 1 pessoa da casa recebeu e por regra, pode ser até duas. Como resolvemos??",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5996967541","https://appfollow.io/app/732578/review/219200834","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219200834"
"2020-05-26 14:35:15","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","Day bruxinha","1","SMS","Não recebi o código do cadastro no celular, o que faço ?",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5996494834","https://appfollow.io/app/732578/review/219160160","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219160160"
"2020-05-26 12:13:38","1506494331","CAIXA | Auxílio Emergencial","br","1.0.1","kefernands","1","Avaliação incorreta","Não fez uma avaliação correta sobre minha situação pois estou desempregada e cumpro todas as especificações porém foi NEGADO, não sei o que posso fazer",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1506494331/activity/ios/ratingsResponses?reviewId=5995977310","https://appfollow.io/app/732578/review/219160159","https://watch.appfollow.io/apps/untitled-collection/reviews/328502?review_id=219160159"
